Name of Organisation,Objective,Services,SDGs,Focus 1,Focus 2,Focus 3,Focus 4,Focus 5,Focus 6,Focus 7,Focus 8,Focus 9,Focus 10,Target Group,Age Category,Gender,Can individuals contact them?,Phone Number,Email,Web Address,Address,Region,Code_region,Notes
UNOPS,Help and support to goverments and communities towards sustanaible development.,"Financial and technical support for goverment.
Financial and technical support to NGOs.","(3) Health, (6) Water/Sanitation, (15) Life on land, (9) Industry / Innovation / Infrastructure, (11) Sustainable Communities, (10) Inequalities, (16) Justice / Institutions",Health support.,Access to water and sanitization.,Environment protection.,Peace and solutioning conflicts.,Infrastrutures.,,,,,,"Government, local communities, other NGOs and associations",,,FALSE,338693838,info.snoh@unops.org,http://www.unops.org/fr/senegal,,Dakar,Dakar,
USAID,"Imrpoving development by creating jobs, improving access to education and health care, strengthening democratic institutions, and developing the agricultural sector to increase production and income.","Education, Healthcare, Job facilitation, capacity building.","(4) Education, (8) Work / Economic Growth, (3) Health, (2) No Hunger, (1) No Poverty, (11) Sustainable Communities, (10) Inequalities",Agrilculture and food security.,Education for vulnerable children.,Leadership and capacity building for youth.,Sensitization and education about humans rights.,Improve the Health system and access to health services.,,,,,,"Other NGOs and associations, Youth, Farming sector",,,FALSE,338794000,usaid-senegal@usaid.gov,http://www.usaid.gov/senegal,Route des Almadies,Dakar,Dakar,
ONG Tostan,Help and assistance to senegalese communities.,"Education (formal and no formal, capacity reinforcement, Healthcare, financial support to women, female leadership traning.","(1) No Poverty, (2) No Hunger, (3) Health, (4) Education, (5) Gender Equality, (6) Water/Sanitation, (7) Clean Energy, (8) Work / Economic Growth, (10) Inequalities, (11) Sustainable Communities, (15) Life on land, (16) Justice / Institutions, (17) Partnerships",Protection of victims of genital mutilation.,Education for communities about human rights.,Improving prison life conditions.,Solar power.,Tranning and finacially supporting women leaders.,Schooling vulnerable children.,,,,,"Rural communities, vulnerable chilrdren and women","C,Y,E,A","F,M",TRUE,338205589,mollymelching@tostan.org,www.tostan.org,"5 Cité Aelmas,Ouest Foire VDN, en face CICES",Dakar,Dakar,
Action Pour les Droits Humains et l'Amité,"Promote the essential human rights of asylum seekers, refugees and the youth of Africa.","Advice, assistance, advocacy.","(16) Justice / Institutions, (10) Inequalities, (11) Sustainable Communities",Assistance of refugees and asylum seekers toward enjoying their fondamental rights.,Family reunification.,,,,,,,,,"Refugees, asylum seekers","C,Y,E,A","F,M",TRUE,773011498 / 763936799,actiondha@gmail.com,http://actiondha.webs.com,"Address: Amitié II Sicap Rue 10 Villa n° 1040 Rez-de-chaussé Dakar, Sénégal",Dakar,Dakar,
ALEFS (Avec les enfants et les femmes du Sénégal),Help and support to children and women.,"Education, Healthcare, psychosocial assistance, entrepreneurship.","(4) Education, (3) Health, (8) Work / Economic Growth, (5) Gender Equality, (10) Inequalities, (11) Sustainable Communities",School support/ Education training.,Support and assistance to vulnerable girls and women.,Entrepreneurship of girls and woman.,Advocacy for women and children's rights.,Assistance to victims of any exploitation and abus.,,,,,,"Talibés, other young vulnerable boys and girls, women","C,Y,E,A",F,TRUE,339571846,alefsmissions@gmail.com,http://alefs.fr/,ALEFS Cité des Enfants Saly Niakh-Niakhal,MBour,M'Bour,
Unies vers’elle,Help and assistance to children and women.,"Shelter, healthcare, social reintegration, mediation.","(1) No Poverty, (3) Health, (4) Education, (5) Gender Equality, (8) Work / Economic Growth, (11) Sustainable Communities, (10) Inequalities",Hosting victimes of abus or domestic violence.,Healthcare and nutrition.,Education/schooling.,Advocacy for women and children's rights.,Psychosocial assistance / Mental health.,,,,,,"Victims of abuse, vulnerable women and children, people looking for shelter or mental health support","C,Y,E,A","F,M",TRUE,33 835 45 35 / 77 332 34 78,contacts@uve-senegal.com,http://www.uniesverselle.org/,"Ancien Tribunal Départemental Boite Postale 19920, 15000 GUEDIAWAYE Sénégal",Dakar,Dakar,
Keur talibé,Helping children begging and living on the street.,"Food security, renovation and construction of daraas (coranic scool), sensitization.","(2) No Hunger, (3) Health, (4) Education, (1) No Poverty, (11) Sustainable Communities, (10) Inequalities",Human trafficking.,"Begging children.
Children living in bad condition.",,,,,,,,,"Talibés, street kids","C,Y",,TRUE,779077524,keurtalibendar@gmail.com,http://www.keurtalibendar.org,,Saint-Louis,Saint-Louis,
Empire des enfants,Help and assistance to vulnerable chlidren.,"Shelter, healthcare, legal advice and protection, psychosocial assistance, Education.","(3) Health, (4) Education, (2) No Hunger, (1) No Poverty, (16) Justice / Institutions, (10) Inequalities, (11) Sustainable Communities",Human trafficking.,Schooling / Education of vulnerable people.,Mental health.,Advocacy.,,,,,,,Vulnerable children,"C,Y",,TRUE,775077991,alou.empire@gmail.com,http://empiredesenfants.sn/,,Dakar,Dakar,
ACTED,"Ending poverty, reinforcing NGO and Associations.","Climate change, food and nutritional security, social integration.","(13) Climate, (2) No Hunger, (1) No Poverty, (12) Responsible Consumption / Production, (11) Sustainable Communities",Zero poverty (reorientation and rebalancing resources).,Zero stigma / exclusion (social mediation and integration).,Zero-carbon ( respect for nature and balanced use of natural resources).,,,,,,,,Poor people and communities,,,FALSE,,,http://www.acted.org,,Dakar,Dakar,
Action Contre la Faim,Global response to food and nutritional crisis.,"Health care to vulnerable people.
Water access for every community.
Food and nutritional security.
Researches and advocacy.","(1) No Poverty, (2) No Hunger, (3) Health, (6) Water/Sanitation, (11) Sustainable Communities, (8) Work / Economic Growth",Access to water / sanitization.,Healthcare / Hygiene.,Food security / nutrition.,Youth job facilitation.,Advocacy.,Mental health.,Gender and protection.,Climate change.,,,"Vulnerable people and communities in need of healthcare, job facilitation, or food security","C,Y,E,A","F,M",TRUE,338200509,mdiop@wa.acfspain.org,http://www.actioncontrelafaim.org,Ngor almadies N°13 Bis Rue NG 96,Dakar YOFF,Dakar,
Solidarité pour les enfants des rues,Help to children living on the street.,"Shelter, Education, Healthcare, capacity building.","(2) No Hunger, (3) Health, (4) Education, (8) Work / Economic Growth, (10) Inequalities",Hosting children begging and living on the street.,Schooling.,,,,,,,,,Children,"C,Y",,TRUE,338687097 / 775624895,centreaccueilsper2006@gmail.com,http://www.solidariteenfantsdesrues.wordpress.com,HLM Patte d’Oie Villa N° 199,Dakar,Dakar,
AMOHS Association du mouvement humaniste de saint-louis,Protection of vulnerable youth and children.,"Education, psychossocial support, Healthcare, mediation, social reintegration.","(3) Health, (2) No Hunger, (4) Education, (10) Inequalities",Healthcare.,Scholing/Education for vulnerable children.,Food security.,Children begging and living on the street.,Protection of the disabled.,Sex education/sexual sensitization of youth.,,,,,Youth,"C,Y",,TRUE,779192620,amohs150@gmail.com,,"Saint-louis, Médina Course",Saint-Louis,Saint-Louis,
Maison de la Gare,Help and assistance to vulnerable people especially children begging and living on the street.,"Shelter, Education, Healthcare, professionnal training, spycho-social assistance, legal advise.","(1) No Poverty, (2) No Hunger, (3) Health, (4) Education, (6) Water/Sanitation, (8) Work / Economic Growth, (10) Inequalities, (12) Responsible Consumption / Production, (16) Justice / Institutions, (17) Partnerships",Victims of economical explotation -Victims of begging.,Hosting Vulnerable chlidren.,Fight against chronical deseases.,Schooling / Education for every child without any for of discrimation.,"Job creation through 
professionnal trading.",Credit facilitation without any interest.,Human trafficking.,Mental health.,,,"Children
Youth
Vulnerable persons","C,Y,E,A","F,M",TRUE,339613039 / 775340660,infos@mdgsl.com,http://www.mdgsl.com,"Saint-louis, Balacoss",Saint-Louis,Saint-Louis,
Association des juristes sénégalaises,Help vulnerable people specially children and women.,"Legal advice and assistance, healthcare, sensitization.","(5) Gender Equality, (3) Health, (16) Justice / Institutions, (8) Work / Economic Growth, (17) Partnerships",Gender based violence.,Advocacy and sensitization on women and children's rights.,Legal information help and assistance espacially on women rights.,,,,,,,,"Women, children, and other vulnerable people","C,Y,E,A",F,TRUE,338673445 / 775034264,femjursen@hotmail.fr,http://www.femmesjuristes.org,Sud-Foire Cité Sonatel I en face Samu Municipal,Dakar,Dakar,
ONG Concept,"Support promising sectors, notably those of the social and solidarity economy, sustainable rural development, agri-food and handicrafts (the heart of activities in our very poorly industrialized cities), the promotion of responsible, trained and informed governance and citizenship, the popularization of renewable energies and ICT and their innovative and shared uses.","Education, psychossocial support, professional trading, Healthcare.","(1) No Poverty, (2) No Hunger, (3) Health, (4) Education, (5) Gender Equality, (7) Clean Energy, (8) Work / Economic Growth, (10) Inequalities, (11) Sustainable Communities, (17) Partnerships","Technical training (formal, non-formal and combined offer).","Promotion of emerging trades and innovative practices (biogas, renewable energy, agri-food, ICT, social and solidarity economy, fair trade, business incubation).","Childhood (basic education, child rights and protection), economic integration of youth.",Capacity building and consulting support for development actors.,Microfinance and entrepreneurship.,,,,,,"Children
Youth
Young adults
Vulnerable Persons
Families","C,Y,E,A","F,M",TRUE,338354527 / 338354536,concept@orangesn,http://www.ongconcept.sn,Unité 11 Parcelles Assainies villa N378,Dakar,Dakar,
Action femme Enfant (AFE),Help and assistance to vulnerable women and girls.,"Shelter, Scool, Healthcare, professionnal support, psychosocial assistance.","(3) Health, (4) Education, (2) No Hunger, (1) No Poverty, (5) Gender Equality, (8) Work / Economic Growth, (10) Inequalities, (11) Sustainable Communities","Victims of domestic violence.
Victims of sexual explotation.",Schooling / Education of children from vulnerable families.,Hosting women pregnant woman/Girls.,Maternal health.,Job creation for vulnerable women.,Schooling / maintaining girls at school.,,,,,"Children, Young unmarried mothers
Women","C,Y,E,A",F,TRUE,338354527 / 338354536 / 776360779,afepikine@hotmail.com,http://afepikine.wixsite.com/aafe,"Pikine/ Angle Tall, près de chez Rawane Ndiaye",Saint-Louis,Saint-Louis,
Village Pilote,Help and assistance to vulnerable children and youth.,"Shelter, healthcare, school, professionnal trading, psychosocial assistance, job création.","(4) Education, (3) Health, (1) No Poverty, (2) No Hunger, (7) Clean Energy, (10) Inequalities, (9) Industry / Innovation / Infrastructure, (11) Sustainable Communities, (16) Justice / Institutions, (17) Partnerships",Youth and children living on street.,"Youth and children using drug, weed and cocaine.",Human trafficking.,Professional trading.,Job creation / Professionnal insertion.,,,,,,"Children
Youth
Drug addicts","C,Y,E","F,M",TRUE,776930365,loic.treguy@villagepilote.org,http://www.villagepilote.org,Dakar Gorom 2,Dakar,Dakar,
ENDA Tiers Monde,Improve sustanaible development especially in poor countries.,,,,,,,,,,,,,,,,FALSE,338699961 / 338699948,se@endatiersmonde.org,http://endatiersmonde.org/,"Avenue Cheikh Anta Diop X Canal IV, Complexe SICAP Point E Bâtiment B, 1er étage",Dakar,Dakar,
ENDA Jeunesse Action,"Education, Health, Safety & Security.",Mobilize families and communities.,"(2) No Hunger, (1) No Poverty, (3) Health, (4) Education, (10) Inequalities, (11) Sustainable Communities, (8) Work / Economic Growth",Education support.,Early migration of children / unaccompanied migrant children.,Sexual and reproductive rights.,Economic integration of youth.,Citizenship registration.,Healthcare.,Daycare.,Reintegrating children from broken families.,Advocacy for needs of vulnerable children.,Community mobilisation.,"Children
Youth","C,Y",,TRUE,338374288,,https://www.facebook.com/endajeunesseaction/,"9, Darou Salam, Sam Notaire, 3370 Dakar Guédiawaye",Dakar,Dakar,
World Vision,"Partner with children, families, and their communities to reach their full potential by tackling the causes of poverty and injustice.","Awareness campains with families around child protection, equipment relative to their needs.
Community programs, as well as other interventions for vulnerable children, strengthening the ability of children to protect themselves why kids’ clubs.","(2) No Hunger, (1) No Poverty, (3) Health, (4) Education, (5) Gender Equality, (8) Work / Economic Growth, (10) Inequalities, (11) Sustainable Communities",Child protection & participation.,Education and Lifeskills.,Health / Hygiene.,Nutrition.,Livelihoods and resilience.,Water / Sanitation.,Family support.,,,,"Children
Families","C,Y,E,A","F,M",TRUE,338651717,worldvision_senegal@wvi.org,https://www.wvi.org/senegal,"Sacré coeur 3 VDN Villa 145 M/S, Malick Sy, BP27086 Dakar",Dakar,Dakar,
Samu Social Sénégal,Improve children's living conditions.,"Shelter, food, Education, Healthcare, family reintegration, capacity building, researches and advocacy.","(2) No Hunger, (1) No Poverty, (3) Health, (4) Education, (10) Inequalities, (11) Sustainable Communities, (16) Justice / Institutions, (17) Partnerships",Child protection & participation.,Food and nutritional security.,Health / Hygiene for children begging and living on the street.,Psychological support / mental health.,Advocacy and researches regarding children's rights.,Capacity building regarding children's rights.,,,,,"Childrens
Women","C,Y,E,A",F,TRUE,338602806,,,"Ouakam, Dakar, Senegal",Dakar,Dakar,
RAO (Réseau Afrique de l’Ouest pour la protection des enfants),Improve the child protection system of west african countries for a sustanaible reintegration and stabilization of children.,"Reintegration of children through the west african area.
Capacity building and reinforcement for goverments and development actors.
Facilitate connexion between actors and communities.","(10) Inequalities, (16) Justice / Institutions, (17) Partnerships",Reintegration of children.,Connexion between public and private organizations.,Capacity building regarding child protection procedures.,,,,,,,,"ONGs and associations
Publics organizations
Goverments
Communities/Family",,,FALSE,338601744,,,,,Worldwide,
